model,accuracy,precision,recall,f1
Logistic Regression (early_warning),0.6329113924050633,0.7068965517241379,0.7735849056603774,0.7387387387387387
Random Forest (early_warning),0.6582278481012658,0.6911764705882353,0.8867924528301887,0.7768595041322314
