model,accuracy,precision,recall,f1
Logistic Regression (with_grades),0.8481012658227848,0.9361702127659575,0.8301886792452831,0.88
Random Forest (with_grades),0.8734177215189873,0.9574468085106383,0.8490566037735849,0.9
